,UniProtID,proteinNames,txt_subunit,geneNames
42,B5GPD0,['Aldehyde dehydrogenase'],Homodimer.,[]
43,E2Q3H5,['Aldehyde dehydrogenase'],Homodimer.,[]
44,E2Q3Q4,['Putative gamma-aminobutyrate permease'],Homodimer.,[]
45,B5H3K9,['Coenzyme A transferase'],Homodimer.,"['cotA', 'SCLAV_1218']"
46,E2PVS8,['Acetyl-CoA acetyltransferase'],Homodimer.,[]
47,B5GL15,['Probable acetyl-CoA acetyltransferase'],Homodimer.,[]
48,B5GZQ1,['Acetyl-CoA acetyltransferase'],Homodimer.,[]
49,B5H3K4,['Putative 3-ketoacyl-CoA thiolase/acetyl-CoA acetyltransferase'],Homodimer.,[]
50,B5GZV5,['Dehydrogenase'],Homodimer.,"['paaZ', 'SCLAV_2973']"
51,E2Q823,['Methylmalonyl-CoA decarboxylase alpha subunit'],Homodimer.,[]
52,B5GSW6,['Propionyl-CoA carboxylase'],Homodimer.,[]
53,B5H415,['Acetoacetyl-CoA synthetase'],Homodimer.,[]
54,B5GX14,['Phosphoglucosamine mutase'],Homodimer.,"['glmM', 'SCLAV_3671']"
55,E2Q549,['Putative PTS transmembrane component'],Homodimer.,[]
56,B5H413,['Phosphoenolpyruvate-protein phosphotransferase'],Homodimer.,[]
57,B5H412,['Putative phosphoenolpyruvate-dependent sugar phosphotransferase'],Homodimer.,"['ptsA', 'SCLAV_0623']"
58,E2PVC9,"['Acetylglutamate kinase', 'N-acetyl-L-glutamate 5-phosphotransferase', 'NAG kinase', 'NAGK']",Homodimer.,"['argB', 'argB2', 'SCLAV_0799']"
59,E2Q5Q4,['Arginine biosynthesis bifunctional protein ArgJ'],Heterotetramer of two alpha and two beta chains.,"['oat2', 'argJ', 'SCLAV_4193']"
60,B5H3I5,['N-acetylglutamate synthase'],Heterotetramer of two alpha and two beta chains.,[]
61,B5H252,['Arginine biosynthesis bifunctional protein ArgJ'],Heterotetramer of two alpha and two beta chains.,"['argJ', 'SCLAV_0800']"
62,E2Q5Q8,['Carboxyethylarginine synthase'],Heterotetramer of two alpha and two beta chains.,"['ceaS2', 'SCLAV_4197']"
63,E2Q4G9,['Putative acetolactate synthase'],Heterotetramer of two alpha and two beta chains.,"['ilvB2', 'SCLAV_1934']"
64,D5SKW7,['Carboxyethyl arginine synthase isoenzyme 1'],Heterotetramer of two alpha and two beta chains.,"['ceaS1', 'SCLAV_p1074']"
65,B5GKZ7,['Acetate kinase'],Homodimer.,"['ackA', 'SCLAV_4330']"
66,B5H0Q1,['Acetolactate synthase small subunit'],Dimer of large and small chains.,"['ilvH', 'SCLAV_4439']"
67,E2Q7X7,['Acetolactate synthase'],Dimer of large and small chains.,"['ilvB1', 'SCLAV_4438']"
68,E2Q3G0,['Putative permease of the major facilitator superfamily'],Dimer of large and small chains.,[]
69,E2Q3E6,['N-acetylneuraminic acid synthase'],Dimer of large and small chains.,[]
70,B5GRU1,['Acyl-CoA dehydrogenase'],Dimer of large and small chains.,[]
71,B5GUT7,['Putative acyl-CoA dehydrogenase'],Dimer of large and small chains.,[]
72,B5GNS4,['Putative acyl-CoA dehydrogenase'],Dimer of large and small chains.,[]
73,B5GU77,"['Broad-specificity linear acyl-CoA dehydrogenase FadE5', 'Long-chain-acyl-CoA dehydrogenase', 'Medium-chain-acyl-CoA dehydrogenase', 'Short-chain-acyl-CoA dehydrogenase']",Homodimer.,[]
74,E2Q6A4,['Probable acyl-CoA dehydrogenase fadE25'],Homodimer.,[]
75,E2Q718,['Acyl-CoA dehydrogenase'],Homodimer.,[]
76,B5GMB5,['Acyl-CoA dehydrogenase domain-containing protein'],Homodimer.,[]
77,E2Q4I1,['Acyl-CoA dehydrogenase'],Homodimer.,[]
78,E2PVZ9,['Chain length factor'],Homodimer.,"['sppB', 'SCLAV_4916']"
79,B5GX71,['Acyl dehydratase'],Homodimer.,[]
80,E2PWE6,['Putative M20/M25/M40-family peptidase'],Homodimer.,[]
81,E2PV06,"['Aconitate hydratase', 'Aconitase']",Homodimer.,"['acnA', 'SCLAV_4830']"
82,B5H254,"['Acetylornithine aminotransferase', 'ACOAT']",Homodimer.,"['argD', 'SCLAV_0798']"
83,B5GY02,['NUDIX hydrolase'],Homodimer.,[]
84,E2Q9Q1,"['Acetyl-coenzyme A synthetase', 'Acetate--CoA ligase', 'Acyl-activating enzyme']",Homodimer.,"['acsA', 'acsA2', 'SCLAV_2556']"
85,B5GRM3,['Acetyl-CoA synthetase'],Homodimer.,[]
86,Q8KRB6,[],Homodimer.,[]
87,B5GMR3,['Dehydrogenase'],Homodimer.,[]
88,E2PUV6,['Putative ABC transporter ATP-binding protein'],Homodimer.,[]
89,B5GY74,['ABC transporter integral membrane protein'],Homodimer.,[]
90,D5SKA2,['Putative ABC transporter ATP-binding protein'],Homodimer.,[]
91,B5GZ45,['Adenosine deaminase'],Homodimer.,"['add3', 'SCLAV_4573']"
92,B5GSZ3,['Adenosine deaminase'],Homodimer.,"['add', 'SCLAV_3807']"
93,B5GX69,['Adenosine deaminase'],Homodimer.,"['add2', 'SCLAV_3621']"
94,E2Q343,"['Adenine deaminase', 'ADE']",Homodimer.,"['add1', 'SCLAV_1721']"
95,E2PV58,"['Endolytic murein transglycosylase', 'Peptidoglycan lytic transglycosylase', 'Peptidoglycan polymerization terminase']",Homodimer.,"['mltG', 'SCLAV_0729']"
96,E2PVA4,['Putative anthranilate synthase'],Homodimer.,"['pabB', 'SCLAV_0775']"
97,B5H0M1,['Putative permease'],Homodimer.,[]
98,B5GX28,"['Adenylate kinase', 'AK', 'ATP-AMP transphosphorylase', 'ATP:AMP phosphotransferase', 'Adenylate monophosphate kinase']",Monomer.,"['adk', 'SCLAV_3658']"
99,E2Q3X1,['Adenylate cyclase'],Monomer.,"['cyaA', 'SCLAV_3837']"
100,E2Q3W6,"['Adenine phosphoribosyltransferase', 'APRT']",Homodimer.,"['apt', 'SCLAV_1863']"
101,B5GWX7,"['Adenine phosphoribosyltransferase', 'APRT']",Homodimer.,"['apt', 'SCLAV_0745']"
102,E2PVX9,"['Adenylyl-sulfate kinase', 'APS kinase', ""ATP adenosine-5'-phosphosulfate 3'-phosphotransferase"", ""Adenosine-5'-phosphosulfate kinase""]",Homodimer.,"['cysC', 'SCLAV_4896']"
103,B5H1K8,['sulfate adenylyltransferase'],Homodimer.,[]
104,E2PVX8,"['Sulfate adenylyltransferase subunit 2', 'ATP-sulfurylase small subunit', 'Sulfate adenylate transferase', 'SAT']","Heterodimer composed of CysD, the smaller subunit, and CysN.","['cysD', 'SCLAV_4895']"
105,E2Q9J6,"['Adenylosuccinate lyase', 'ASL']","Heterodimer composed of CysD, the smaller subunit, and CysN.",[]
106,E2Q9W5,['Adenylosuccinate synthetase'],Homodimer.,"['purA', 'SCLAV_2620']"
107,B5GNY3,['N-acetylglucosamine-6-phosphate deacetylase'],Homodimer.,[]
108,E2Q2N8,['N-acetylmuramoyl-L-alanine amidase'],Homodimer.,[]
109,B5GVH1,['N-acetylmuramoyl-L-alanine amidase'],Homodimer.,"['amiA', 'SCLAV_4415']"
110,E2Q0E4,['Putative peptidyl-arginine deiminase family protein'],Homodimer.,[]
111,E2Q4H0,['Agmatinase'],Homodimer.,"['speB', 'SCLAV_1935']"
112,E2Q712,['Arginase/agmatinase/formiminoglutamase'],Homodimer.,[]
113,D5SK66,['Putative acyltransferase'],Homodimer.,[]
114,E2Q7L8,['Acyltransferase'],Homodimer.,[]
115,E2Q9H3,['Acyltransferase'],Homodimer.,[]
116,E2PVD1,"['N-acetyl-gamma-glutamyl-phosphate reductase', 'AGPR']",Homodimer.,"['argC', 'argC2', 'SCLAV_0801']"
117,E2Q5D9,['Adenosylhomocysteinase'],Homodimer.,"['sahH', 'ahcY', 'SCLAV_2107']"
118,B5GXD1,"['Phosphomethylpyrimidine synthase', 'Hydroxymethylpyrimidine phosphate synthase']",Homodimer.,"['thiA', 'thiC', 'SCLAV_2863']"
119,B5GXC4,['Cystathionine gamma-lyase'],Homodimer.,"['cysA', 'SCLAV_2869']"
120,E2Q393,['Bifunctional purine biosynthesis protein PurH'],Homodimer.,"['purH', 'SCLAV_3736']"
121,B5GXT9,"['N5-carboxyaminoimidazole ribonucleotide synthase', 'N5-CAIR synthase']",Homodimer.,"['purK', 'SCLAV_2161']"
122,B5GXU0,"['N5-carboxyaminoimidazole ribonucleotide mutase', 'N5-CAIR mutase']",Homodimer.,"['purE', 'SCLAV_2160']"
123,E2Q5E4,['Phosphomannomutase/phosphoglucomutase'],Homodimer.,[]
124,E2Q0T5,['Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex'],Homodimer.,[]
125,B5H3M7,['Putative proline/betaine transporter'],Homodimer.,[]
126,B5GXJ3,['Branched-chain amino acid transport ATP-binding protein'],Homodimer.,[]
127,E2PYQ6,['Putative branched-chain amino acid ABC transporter ATP-binding protein'],Homodimer.,[]
128,E2PYQ4,['Branched-chain amino acid ABC transporter permease'],Homodimer.,[]
129,E2PYL5,"['UvrABC system protein A', 'UvrA protein']",Forms a heterotetramer with UvrB during the search for lesions.,"['uvrA', 'SCLAV_1159']"
130,E2PVF9,['ABC-type xenobiotic transporter'],Forms a heterotetramer with UvrB during the search for lesions.,[]
131,B5GXJ7,['Branched chain amino acid binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,[]
132,E2Q967,['Peptide transport permease'],Forms a heterotetramer with UvrB during the search for lesions.,[]
133,E2Q965,['Putative oligopeptide ABC transporter ATP-binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,[]
134,E2Q4P9,['Peptide ABC transporter ATP-binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,[]
135,B5GTY1,['Oligopeptide ABC transporter substrate-binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,"['oppB', 'SCLAV_3982']"
136,B5GVG5,['Putative peptide ABC transporter ATP-binding protein'],Forms a heterotetramer with UvrB during the search for lesions.,"['appF', 'SCLAV_4409']"
137,E2Q3C2,['D-alanyl-D-alanine carboxypeptidase'],Forms a heterotetramer with UvrB during the search for lesions.,[]
138,B5H056,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']",Forms a heterotetramer with UvrB during the search for lesions.,"['ddl', 'SCLAV_4509']"
139,E2Q112,"['D-alanine--D-alanine ligase', 'D-Ala-D-Ala ligase', 'D-alanylalanine synthetase']",Forms a heterotetramer with UvrB during the search for lesions.,"['ddl', 'SCLAV_3446']"
140,E2PXE0,['Alanine dehydrogenase'],Homohexamer. Trimer of dimers.,[]
141,E2Q2G2,['Alanine racemase'],Homohexamer. Trimer of dimers.,"['alr2', 'alr3', 'SCLAV_3678']"
142,E2Q111,['Alanine racemase'],Homohexamer. Trimer of dimers.,"['alr1', 'alr2', 'SCLAV_3445']"
143,E2Q409,['alanine transaminase'],Homohexamer. Trimer of dimers.,"['alaT', 'SCLAV_3875']"
144,B5GNU6,['Putative alcohol dehydrogenase'],Homohexamer. Trimer of dimers.,"['adhA', 'SCLAV_3440']"
145,E2Q1Y8,['Putative zinc-binding dehydrogenase'],Homohexamer. Trimer of dimers.,[]
146,B5GV59,['alcohol dehydrogenase'],Homohexamer. Trimer of dimers.,[]
147,B5GNA3,['Alcohol dehydrogenase'],Homohexamer. Trimer of dimers.,"['adhA', 'SCLAV_p0727']"
148,E2Q3X7,['alcohol dehydrogenase (NADP(+))'],Homohexamer. Trimer of dimers.,[]
149,B5H000,['Putative zinc-containing dehydrogenase'],Homohexamer. Trimer of dimers.,[]
150,E2PYD9,"['2,5-dioxovalerate dehydrogenase']",Homohexamer. Trimer of dimers.,[]
151,E2PW77,['Phenylacetaldehyde dehydrogenase'],Homohexamer. Trimer of dimers.,"['feaB', 'SCLAV_0833']"
152,B5GLA9,['aldehyde dehydrogenase (NAD(+))'],Homotetramer.,"['pcd', 'SCLAV_4212']"
153,E2Q150,['Aldehyde dehydrogenase'],Homotetramer.,[]
154,E2PZ14,['Aldehyde dehydrogenase'],Homotetramer.,[]
155,E2Q204,['Aldehyde dehydrogenase'],Homotetramer.,[]
156,B5GZR9,['Allantoate amidohydrolase'],Homotetramer.,[]
157,E2PX05,['allantoinase'],Homotetramer.,[]
158,E2PY00,['Oxidoreductase'],Homotetramer.,[]
159,E2Q465,['Oxidoreductase'],Homotetramer.,[]
160,E2PWE0,['Putative oxidoreductase'],Homotetramer.,[]
161,E2Q3S5,"['4-alpha-glucanotransferase', 'Amylomaltase', 'Disproportionating enzyme']",Homotetramer.,[]
162,E2PZD5,['Putative methyltransferase'],Homotetramer.,[]
163,E2Q750,['Putative methyl transferase'],Homotetramer.,[]
164,B5GXK7,['Putative methyltransferase'],Homotetramer.,[]
165,E2Q1C6,['Demethylmenaquinone methyltransferase'],Homotetramer.,"['menG', 'ubiE2', 'SCLAV_3559']"
166,E2Q9L5,['cysteine desulfurase'],Homotetramer.,[]
167,E2Q3R8,['Aminopeptidase N'],Homotetramer.,[]
168,E2Q0T3,"['Probable cytosol aminopeptidase', 'Leucine aminopeptidase', 'LAP', 'Leucyl aminopeptidase']",Homotetramer.,"['ampA', 'pepA', 'SCLAV_1397']"
169,B5GUX0,['Anthranilate phosphoribosyltransferase'],Homodimer.,"['trpD', 'SCLAV_1363']"
170,E2PZV2,['anthranilate synthase'],Homodimer.,[]
171,E2PZM0,['Anthranilate synthase component 1'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['trpE', 'SCLAV_1250']"
172,B5H1C8,['Putative hydrolase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
173,E2Q8Y2,['acylphosphatase'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
174,E2PUD8,['Riboflavin biosynthesis protein RibD'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
175,E2PY17,['ABC transporter ATP-binding protein'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
176,B5H2G5,['L-arabinose transport system permease protein araH'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
177,E2Q2Q1,['Putative permease of the major facilitator superfamily'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
178,B5H0K9,"['Putative ABC transporter, ATP-binding protein']",Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
179,B5H376,['Putative polar amino acid ABC transporter substrate-binding protein'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
180,E2QA36,['ABC-type polar-amino-acid transporter'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,[]
181,E2QA33,['Glutamate transporter permease'],Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE).,"['gluD1', 'SCLAV_4660']"
182,E2Q5I1,['Histidine/lysine/arginine/ornithine transport system permease protein HisM'],"The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).",[]
183,B5H375,['Putative polar amino acid ABC transporter permease protein'],"The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).",[]
184,E2PUZ0,"['Arginine deiminase', 'ADI']","The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['arcA', 'SCLAV_4814']"
185,B5H257,"['Argininosuccinate lyase', 'ASAL']","The HisPMQJ complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (HisJ). The HisPMQ-ArgT complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT).","['arlY', 'argH', 'SCLAV_0795']"
186,E2PVC6,['Argininosuccinate synthase'],Homotetramer.,"['assY', 'argG', 'argG2', 'SCLAV_0796']"
187,B5H3B3,['Aspartate-semialdehyde dehydrogenase'],Homotetramer.,"['asd2', 'SCLAV_2613']"
188,E2Q3R6,['Aspartate-semialdehyde dehydrogenase'],Homodimer.,"['asd1', 'asd', 'asd2', 'SCLAV_1812']"
189,A0PCJ8,[],Homodimer.,"['cvm13', 'SCLAV_2932']"
190,B5GZE4,['asparagine synthase (glutamine-hydrolyzing)'],Homodimer.,[]
191,B5GLC7,['Carboxyethyl-arginine beta-lactam-synthase'],Homodimer.,"['bls2', 'SCLAV_4196']"
192,B5GZZ7,['L-asparagine permease'],Homodimer.,"['ansP', 'SCLAV_0907']"
193,D5SK19,['Putative membrane efflux protein'],Homodimer.,"['arsB', 'SCLAV_p0775']"
194,B5GUQ9,"['PLP-dependent enzyme, glutamate decarboxylase']",Homodimer.,[]
195,B5H1N9,['Pyridoxal-dependent decarboxylase'],Homodimer.,"['sidD', 'SCLAV_1948']"
196,B5GRR5,['Putative glutamate ABC transporter permease'],Homodimer.,"['gluD2', 'SCLAV_5031']"
197,E2Q660,['ABC-type polar-amino-acid transporter'],Homodimer.,[]
198,B5GX00,['Aspartate carbamoyltransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).","['pyrB', 'SCLAV_0716']"
199,B5H3B4,['Aspartokinase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[]
200,E2Q8H9,['L-aspartate oxidase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).","['nadB', 'SCLAV_2394']"
201,E2Q1C0,['Proton transport protein'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[]
202,E2Q4R0,['N-succinyldiaminopimelate aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[]
203,B5H3S7,['Putative aspartate aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[]
204,B5H0A4,['Aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[]
205,E2Q2A6,['Aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[]
206,B6ICY4,['Aminotransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).","['orfC', 'SCLAV_p1070']"
207,E2Q0W4,['Putative arsenate reductase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[]
208,E2Q199,['Dehydrogenase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).",[]
209,B5H1B4,['ATP phosphoribosyltransferase'],"Heterododecamer (2C3:3R2) of six catalytic PyrB chains organized as two trimers (C3), and six regulatory PyrI chains organized as three dimers (R2).","['hisG', 'SCLAV_0675']"
210,E2Q6P7,"['ATP synthase epsilon chain', 'ATP synthase F1 sector epsilon subunit', 'F-ATPase epsilon subunit']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['atpC', 'SCLAV_4272']"
211,B5GUT6,['CoA ligase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
212,E2PVX5,['Putative ABC transporter ATP-binding protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
213,E2Q2N6,['Putative glycine betaine aldehyde dehydrogenase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
214,E2Q3H4,['Aldehyde dehydrogenase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
215,E2Q7I5,['Molybdopterin molybdenumtransferase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['moaA2', 'SCLAV_2318']"
216,E2PZ68,['Putative ABC transporter permease protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
217,E2PZ70,['ABC transporter ATP-binding protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
218,B5H1K5,['ABC transporter permease protein'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
219,E2Q155,"['ABC-type antimicrobial peptide transport system, ATPase component']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
220,E2Q3U7,['Putative ring-hydroxylating dioxygenase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
221,E2PZI9,['Enoyl-ACP reductase II'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['fabK', 'SCLAV_1220']"
222,E2PXK3,['Oxidoreductase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
223,E2PXM1,"['Cob I yrinic acid a,c-diamide adenosyltransferase']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.","['cobO', 'SCLAV_1065']"
224,B5GRS3,['Hydrolase'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
225,B5GX02,['Carbamoyl phosphate synthase small chain'],"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.","['carA', 'SCLAV_0713']"
